stop_id,stop_name,stop_lat,stop_lon,zone_id
1074,NOVA VARIANTE,41.534954,-8.448295,1
1075,FREI J VILAÇA,41.534924,-8.442006,1
1076,CALDAS (ALEGRETE) ,41.534206,-8.478871,2
1077,CALDAS (ALEGRETE)  ,41.534275,-8.478909,2
1078,FOJO II,41.578186,-8.371103,2
1079,FOJO II,41.578194,-8.371196,2
1082,NOVA DO NOVAL ,41.526134,-8.452842,2
1083,NOVA DO NOVAL ,41.526134,-8.452740,2
1084,NOVAL I (CRUZAMENTO),41.523605,-8.454332,2
1085,NOVAL I (CRUZAMENTO),41.523647,-8.454426,2
1086,NOVAL II,41.522583,-8.455342,2
1087,NOVAL II,41.522655,-8.455363,2
1088,QUINTA I,41.522896,-8.456818,2
1089,QUINTA I,41.522923,-8.456749,2
1090,QUINTA II (MAZAGÃO),41.524647,-8.455899,2
1091,QUINTA II (MAZAGÃO),41.524647,-8.455974,2
1092,SENHORA DO PARTO I (MAZAGÃO),41.525818,-8.456058,2
1093,SENHORA DO PARTO I (MAZAGÃO),41.525715,-8.456051,2
1094,SENHORA DO PARTO II (TORRE),41.524891,-8.458963,2
1095,SENHORA DO PARTO II (TORRE),41.524841,-8.458951,2
1096,SENHORA DO PARTO III,41.523361,-8.460347,2
1097,SENHORA DO PARTO III,41.523197,-8.460423,2
1098,SENHORA DO PARTO IV (CRUZEIRO),41.522911,-8.462592,2
1099,SENHORA DO PARTO IV (CRUZEIRO),41.522869,-8.462528,2
1100,SENHORA DO PARTO V (CRUZAMENTO),41.520397,-8.465693,2
1101,SENHORA DO PARTO V (CRUZAMENTO),41.520367,-8.465624,2
1102,GAIÃO I,41.517288,-8.467671,2
1103,GAIÃO I,41.517326,-8.467609,2
1104,GAIÃO II (MÓVEIS),41.515507,-8.465813,2
1105,GAIÃO II (MÓVEIS),41.515514,-8.465758,2
1106,13 DE MAIO II,41.511562,-8.462977,2
1107,13 DE MAIO I,41.512974,-8.464370,2
1108,SEQUEIRA V,41.530716,-8.480404,2
1109,SEQUEIRA V,41.530636,-8.480378,2
1110,SEQUEIRA VI,41.530018,-8.484433,2
1111,SEQUEIRA VI,41.529949,-8.484410,2
1112,LABRIOSQUE I (POSTO MÉDICO),41.530949,-8.489766,2
1113,LABRIOSQUE I (POSTO MÉDICO),41.530849,-8.489772,2
1114,LABRIOSQUE II,41.532265,-8.491755,2
1115,LABRIOSQUE II,41.532207,-8.491817,2
1116,SENHOR PASSOS I (P MARTIM),41.533928,-8.495488,2
1117,SENHOR PASSOS I (P MARTIM),41.533592,-8.495955,2
1118,LUIS A CORREIA ,41.553127,-8.396164,1
1119,MARIA D SILVA ,41.526257,-8.448212,1
1120,SENHOR PASSOS II (INFANTÁRIO),41.535694,-8.492802,2
1121,SENHOR PASSOS II (INFANTÁRIO),41.535782,-8.492834,2
1122,SENHOR PASSOS III (EB23),41.536640,-8.490395,2
1123,SENHOR PASSOS III (EB23),41.536751,-8.490344,2
1124,SENHOR PASSOS IV (PADRÃO),41.537605,-8.488410,2
1125,SENHOR PASSOS IV (PADRÃO),41.537682,-8.488514,2
1126,S MIGUEL II,41.541611,-8.486708,2
1127,S MIGUEL II,41.541630,-8.486794,2
1128,S MIGUEL III (TORRE),41.542637,-8.485998,2
1129,S MIGUEL III (TORRE),41.542690,-8.486083,2
1130,S MIGUEL IV,41.544342,-8.485618,2
1131,S MIGUEL IV,41.544300,-8.485788,2
1132,CACHADA I,41.545551,-8.488084,2
1133,CACHADA I,41.545498,-8.488092,2
1134,CACHADA II (PAULINHOS),41.545681,-8.492183,2
1136,POÇA (CRUZAMENTO),41.490864,-8.432799,2
1137,POÇA (CRUZAMENTO),41.490837,-8.432741,2
1138,POÇA (MAIA CARVALHO),41.490128,-8.435345,2
1139,POÇA (MAIA CARVALHO),41.490070,-8.435327,2
1140,ENTRE ÁGUAS ,41.489307,-8.437351,2
1141,ENTRE ÁGUAS ,41.489258,-8.437285,2
1142,AGRO I ,41.486465,-8.441007,2
1143,AGRO I,41.486458,-8.440890,2
1144,AGRO II,41.484592,-8.443986,2
1145,AGRO II,41.484562,-8.443899,2
1146,AGRAS,41.483295,-8.444744,2
1147,AGRAS,41.483223,-8.444618,2
1148,S MIGUEL III (IGREJA),41.481907,-8.447094,2
1149,S MIGUEL III (IGREJA),41.481842,-8.446597,2
1150,OUTEIRO I ,41.530254,-8.489697,2
1151,OUTEIRO I ,41.530220,-8.489589,2
1152,OUTEIRO II,41.529888,-8.493313,2
1153,OUTEIRO II,41.529888,-8.493193,2
1154,OUTEIRO III ,41.529572,-8.495495,2
1155,OUTEIRO III,41.529503,-8.495553,2
1156,IGREJA I (JUNTA),41.528805,-8.497664,2
1157,IGREJA I (JUNTA),41.528767,-8.497582,2
1158,ESCOLA,41.527344,-8.502238,2
1159,ESCOLA,41.527294,-8.502136,2
1160,SERRA II,41.522644,-8.507808,2
1161,SERRA II,41.522564,-8.507766,2
1162,FÁBRICA I (CRUZEIRO),41.519970,-8.507911,2
1163,FÁBRICA I (CRUZEIRO),41.519943,-8.507836,2
1165,FÁBRICA II (SERRAÇÃO),41.517029,-8.510105,2
1166,TREZESTE I (MARB),41.506172,-8.455222,2
1168,TREZESTE II,41.503223,-8.457091,2
1169,TREZESTE II,41.503193,-8.457008,2
1170,SENHOR BONS CAMINHOS I (ALMINHAS),41.498425,-8.461047,2
1171,SENHOR BONS CAMINHOS I (ALMINHAS) ,41.498402,-8.460979,2
1172,SENHOR BONS CAMINHOS II (TANQUE),41.496574,-8.463498,2
1173,SENHOR BONS CAMINHOS II (TANQUE),41.496468,-8.463560,2
1174,SENHOR BONS CAMINHOS III (ESCOLA),41.496670,-8.466441,2
1175,SENHOR BONS CAMINHOS III (ESCOLA),41.496689,-8.466336,2
1176,MOIMENTA ,41.493191,-8.465823,2
1177,MOIMENTA ,41.493141,-8.465750,2
